Center name,address,pin,phone1,phone2,bk_contact,email,connection,area,city
Bhavdhan,"15/12 Ganesh Sahakar Society, Near Vaaman Ganesh Mandir, Shinde nagar, Bhavdhan",411021,9604188517,,,,,Bhavdhan,Pune
Bhosari,"Indraprasth, Shastri Chowk, Alandi Rd., Pachrane Basti, Bhosari",411039,020-27128624,9970174926,BK Karuna,,,Bhosari,Pune
Bibwewadi,"Flat No.-90, Bldg.-6, UmaShankar Soc, Behind Mahesh Soc.",411037,020-24412187,7975661187,BK Sunita,umashankarSoc..pun@bkivv.org,MS,Bibwewadi,Pune
Bibwewadi,"Shendkar Heights Survey No 236, 2ndFloor Flat #5, Nr. Prabhat Jyoti Bus stand, Bibwewadi",411037,9850315283,,BK Kusum,,,Bibwewadi,Pune
Boparkhel,"Swati Behn, Ganesh Nagar, Colony No 8, Boparkhel",411031,9767507542,,,,,Boparkhel,Pune
Bopodi,"Matrismriti Soc., Pune Mumbai Rd., Bopodi Police Chowki Marg, Bopodi",411003,9420200234,,BK Laxmi,bopodi.pun@bkivv.org,,Bopodi,Pune
Bopodi,"Om Shanti Bhavan, 37/2 Kotker lane , Bhau Patil Road, Bopodi",411020,9763240166,,BK Sunita,bopodigaon.pun@bkivv.org,,Bopodi,Pune
"Chandan nagar, Kharadi","Prasad Sadan, 50/2/6 New bus Stop, Pune- Nagar Rd., Chanda nagar, Kharadi",411014,020-27011676,9422535647,BK Anjali,chandannagar.pun@bkivv.org,,"Chandan nagar, Kharadi",Pune
Chinchwad,"R.No.58, Pasaydan Housing Soc., MIDC 'G' Block, Nr. Ganesh Temple, Sambhaji Nagar, Chinchwad",411019,020-27370233,9766346145,,,,Chinchwad,Pune
Chinchwad,"Plot No7, Abhilasha Soc., Brahmakumaris Marg, Link Raod, Laxminagar, Chinchwad",411033,020-27442318,9921433852,BK Sheetal,sheetalbahan@gmail.com,,Chinchwad,Pune
Chinchwad,"Flat No:202, Laxmi Narayan Complex, PMT Bust stop, link Rd., Chinchwad Gaon",411033,020-27614265,020-27461815,,,,Chinchwad,Pune
Dhankawadi,"Survey No:3/15, Flat No:35, Hilltop Soc., Nr. Jyoti Park Bus stop, Dhankawdi",411043,020-24376486,9545555200,BK Sulbha,,,Dhankawadi,Pune
Dhayari,"Flat No:1, A Wing, First floor, Vaishnavi Griha Sanrachana,Ganesh Nagar, Dhayari",411041,9881999403,,,,,Dhayari,Pune
Dhayari,"B-102, Ganesh Complex, Nr. Bhairavnath Mandir, Dhayari",411041,7875742074,,,,,Dhayari,Pune
Dighi,"Sahakar Nagar, Nr. Parande Nagar Bus Stop, Alandi Pune Rd., Dighi",411015,9730068678,,,,,Dighi,Pune
Fursungi,"Shiv Kunj, Rd. No 8, Tukai Darshan, Tukai Tekdi, Fursungi",411028,9975806086,,,,,Fursungi,Pune
Ghodpadi Gaon,"35, Malti Sadan, Vitthal Mandir, Pune Cantontment, Ghodpadi Gaon",411001,8862018973,,,,,Ghodpadi Gaon,Pune
Ghorpadi,"6/8 Bhagyashri Nagar, Zende Wasti, Nr. Eastern court, B.T.Kavde Rd., Munda PO, Ghorpadi",411038,9823836297,8208561261,,,,Ghorpadi,Pune
Hadapsar,"Yashraj Complex, Flat No:1,2, Above Janseva Bank, Sasanenagar, Hadapsar",411028,7385044022,,,,,Hadapsar,Pune
Hadapsar,"Prakashmani Bhawan, 1st floor, Trimurti Complex, Nr. Mama Plywood, Satavwadi, Opp to Gliding centre, Hadapsar",411028,020-26994852,9921228833,,hadapsar.pun@bkivv.org,,Hadapsar,Pune
Hadapsar,"Gyanamrit Bhawan, Plot No 278, Indraprasth Soc., Akashwani, Hadapsar",411028,020-26995511,9890655884,,akashwani.pun@bkivv.org,,Hadapsar,Pune
Hadapsar,"Flat No. 104, Radha Paradise,  Behind Amar cottage, Bhosale Garden, Hadapsar",411028,8149038575,9637061672,,,,Hadapsar,Pune
Hinjewadi,"C/O Yadavrao Sakre, Door No: 496, Ground Floor, MIDC G Block Sambhajinagar, Hinjewadi",411057,9822420628,,,mangal.khetmalis@gmail.com,,Hinjewadi,Pune
Hinjewadi,"laxman Hulawale, Flat No.5, Next to jambhulkar Health Club, Sakhare Wasti, Hinjewadi",411057,,,,,,Hinjewadi,Pune
Karvenagar,"Flat No. A1; Seva K No. 42143, Krishna Apartment, United Western Soc., DP Rd., Karve Nagar",411052,9921665177,9890326788,,karvenagar.pun@bkivv.org,,Karvenagar,Pune
Karvenagar,"1/25/8 Deep Jyoti Colony, Back  of Vitthal Mandir, Cummins College Rd., Karvenagar",411052,020-25449820,9823859859,BK Sunita,,,Karvenagar,Pune
Katraj,"2ndFloor, Sanjivani Hospital, Harsh Vihar,Jhambhulwadi Rd., Nr. Telco Soc., Ambegaon Khurd, Katraj",411046,,,,,,Katraj,Pune
Khadki,"Flat No:5, 2ndFloor,, Asiad Housing Soc., 46 Aundh Rd., Khadki",411020,020-25697575,9421677664,,khadki.pun@bkivv.org,,Khadki,Pune
Kharadi,"Thithe Vasti, Badekar Bldg., Nr. Samarth Hospital, Kharadi",411014,9850965395,,,,,Kharadi,Pune
Lohegaon,"13 Gita Park, Sathe Vasti, Survey No:280, Lohegaon",411047,,,,,,Lohegaon,Pune
Lohegaon,"Flat No. 54, Tej House, Gurudwara Colony, Survey No. 169, Ekta Nagar, Lohegaon",411047,9325374442,,,,,Lohegaon,Pune
Magarpatta City,"V-906, Cosmos, Magarpatta City",411013,8007775025,,,,,Magarpatta City,Pune
Mahalunge,"1st floor, Bhikaji Niwas, Behind Suryamukhi Ganesh temple, Near Shiva Chhatrapati Sports Complex, Mahalunge",411045,7040283643,,,,,Mahalunge,Pune
Manjari Khurd,"Vitthal Mandir, Taluka Haveli, Nr. Vitthala Mandir, Manjari Khurd",411021,8888068787,,,,,Manjari Khurd,Pune
Marunji,"Chauhan Corner Taluka mulshi, Nr. Shivyug Mitramandal, Marunji",411057,9766342607,,,,,Marunji,Pune
Model Colony,"1098/10, Block 2, Ground floor, Atmashanti Bhawan,  Near B. S. Thorat Chowk, Near Post Office, Model Colony",411016,8149945020,,,,,Model Colony,Pune
Mukund Nagar,"A' Bldg., Flat No. 901, Sujay Garden, Shankarrao Lohane Marg, Mukund Nagar, Nr. Swargate",411037,020-29709901,9823054534,BK Sarita,bksarita12@gmail.com,,Mukund Nagar,Pune
Mundhwa,"Om Bhawan, Shivnagari Soc., Survey No:40/IC/3, Behind Madhyavarti Bank, Keshav Nagar, Mundhwa",411036,020-26823175,9420129946,,,,Mundhwa,Pune
Nanded city,"Asawari J - 1306, Nanded city, Sinhagarh Rd.",411041,7769990296,,BK Lalita,bklalita.pun@gmail.com,,Nanded city,Pune
Nigdi Pradhikaran,"59, LIG Colony, Sector 25-A, Sindhu Nagar, Nr. Sanskrut Bhavan, Nigdi Pradhikaran",411044,020-27650888,,,,,Nigdi Pradhikaran,Pune
Pashan,"Flat No 4, Shivani Bldg., Someshwar Park, Jhunjh Bunglow, Someshwarwadi, Pashan",411021,9272168147,,,,,Pashan,Pune
Phulenagar,"120/401, Shree Gharonda Soc., Nr. Survey of India, Alandi Rd., Phulenagar",411006,020-26684098,,,,,Phulenagar,Pune
Pimple Gurav,"Little Angels Public School, Nr. Ramkrishna Mangal Karyalaya, Pimple Gurav, Pimple Gurav",411061,9822233420,,,,,Pimple Gurav,Pune
Pimple Gurav,"Sudarshan Nagar, Pimple Gurav",411061,9881664544,9545981844,,,,Pimple Gurav,Pune
Pimple Gurav,"Flat No A-204, Sushant Residency, Bhagatsing Chowk, Anand Nagar, Pimple Gurav",411061,9762475410,8793045101,BK Sangeeta,,,Pimple Gurav,Pune
Pimple Saudagar,"Deepmala Soc., Pimple Saudagar, Pimple Saudagar",411027,9881664544,9049649750,,,,Pimple Saudagar,Pune
Pimpri,"Jamtani Chowk, Nr. Cosmos Bank, Pimpri",411017,9766798157,,,,,Pimpri,Pune
Pimpri,"47/393 HIG Colony, Nr. Fire Brigade, Sant Tukaramnagar, Pimpri",411018,020-65306351,8983438078,,,,Pimpri,Pune
Punawle Gaon,"Punawle Gaon, Punawle Gaon",411033,9881664544,9822843864,,,,Punawle Gaon,Pune
Rahatni,"Light House, Soundarya Colony,  Off Kalewadi-Rahatni Rd., Nr. Metro Hospital, Nakhate Vasti, Rahatani",411017,7588099182,,BK Varsha,rahatni.pun@bkivv.org,GPO,Rahatni,Pune
Raviwar Peth,"450, 2ndFloor, Phadke Haud, Nr. Sangli Bank, Raviwar Peth",411002,020-24495228,9028765105,BK Rohini,,,Raviwar Peth,Pune
Sadashiv Peth,"194/2 Shiv Kripa, Ganjwe Chowk, Nr. Patrakar Bhawan, Sadashiv Peth",411030,020-24335234,9890674396,BK Lata,sadashivpeth.pun@bkivv.org,,Sadashiv Peth,Pune
Sahkar Nagar,"187 Sanjivani Soc., 1stFloor, Dattachaya, Mohankar Bunglow, Gali No:7, Sahkar Nagar",411009,9860878963,9860441156,,sahakarnagar.pun@bkivv.org,,Sahkar Nagar,Pune
Sakal Nagar- Aundh,"2nd Floor, Building no. C-3, Sakal Nagar, Baner Road, Aundh",411007,9762031657,,,,,Sakal Nagar- Aundh,Pune
Sanghvi,"Shiv Shakti Bhawan, 4/2 Priyadarshani Nagar, Gali No:1, Aundh Post, Old Sanghavi",411027,020-27281318,,,bksangavi.pune@gmail.com,,Sanghvi,Pune
Shivajinagar,"Ground floor, Opp. Mahatma Phule Museum, Ghole Rd., Shivaji Nagar",411005,020-25530375,9049184243,BK Shardha,,,Shivajinagar,Pune
Shivane,"Flat No.105, Prithviraj complex, Ingale colony, Nr. Add mart, Deshmukhwadi, Shivane",411023,9096184161,9503690089,,,,Shivane,Pune
Sinhagarh Rd.,"Flat No.3, 2nd Floor, Narmada Aptt., Opp. Brahma Garden Hotel, Sinhagarh Rd., Manik Bagh",411051,,,,,,Sinhagarh Rd.,Pune
Somwarpeth,"Indira Complex, 8/5, Mangalwar Peth, Nr. Devkar Garrege",411011,9960896268,,,,,Somwarpeth,Pune
Sus,"1st floor, Parakhe Niwas, Near Shanti terrace society, Vidya Valley school road, Sus",411021,9921330762,,,,,Sus,Pune
Thergaon,"81, Ashoka Soc., Thergaon, Kalevadi-Fata, Pimpri, Chinchavada",411033,,,,,,Thergaon,Pune
Vadgaon Sheri,"Sadbhavana Bhawan', S.No. 48/1, Icchatrupti Housing Soc., Nr. Anand Park Bus Stop, Vadgaonsheri",411014,020-27033539,,,,,Vadgaon Sheri,Pune
Vishrantwadi,"Hariganga Soc., Meditation Hall, Alandi Rd., Nr. RTO, Vishrantwadi",411015,9881495944,,,,,Vishrantwadi,Pune
Wadban,"92/21, Shree Krishna Nagar Soc., Airtel Tower Bldg.,, Wadban",411036,9850091115,,,,,Wadban,Pune
Wanawadi,"Flat No.1, Ground Floor, Om Tulsi Soc., Near Shivanand Garden, Wanawadi",411040,8983023230,,,,,Wanawadi,Pune
Yerawada,"5, Kailash Park, Jail Rd., Nr. Gunjan Theatre, Yerawada",411006,9421009898,,,,,Yerawada,Pune
